date,consumption
10-Jan/ 1:00 PM,0.255
10-Jan/ 2:00 PM,0.264
10-Jan/ 3:00 PM,0.253
10-Jan/ 4:00 PM,0.25
10-Jan/ 5:00 PM,0.234
10-Jan/ 6:00 PM,0.249
10-Jan/ 7:00 PM,0.297
10-Jan/ 8:00 PM,0.323
10-Jan/ 9:00 PM,0.423
10-Jan/ 10:00 PM,0.418
10-Jan/ 11:00 PM,0.418
10-Jan/ 12:00 PM,0.431
10-Jan/ 13:00 PM,0.424
10-Jan/ 14:00 PM,0.424
10-Jan/ 15:00 PM,0.426
10-Jan/ 16:00 PM,0.419
10-Jan/ 17:00 PM,0.423
10-Jan/ 18:00 PM,0.434
10-Jan/ 19:00 PM,0.393
10-Jan/ 20:00 PM,0.367
10-Jan/ 21:00 PM,0.356
10-Jan/ 22:00 PM,0.313
10-Jan/ 23:00 PM,0.288
10-Jan/ 24:00 PM,0.284
11-Jan/ 1:00 PM,0.28
11-Jan/ 2:00 PM,0.281
11-Jan/ 3:00 PM,0.288
11-Jan/ 4:00 PM,0.287
10-Jan/ 5:00 PM,0.329
10-Jan/ 6:00 PM,0.389
10-Jan/ 7:00 PM,0.541
10-Jan/ 8:00 PM,0.563
10-Jan/ 9:00 PM,0.631
10-Jan/ 10:00 PM,0.663
10-Jan/ 11:00 PM,0.657
10-Jan/ 12:00 PM,0.745
10-Jan/ 13:00 PM,0.76
10-Jan/ 14:00 PM,0.715
10-Jan/ 15:00 PM,0.73
10-Jan/ 16:00 PM,0.717
10-Jan/ 17:00 PM,0.693
10-Jan/ 18:00 PM,0.67
10-Jan/ 19:00 PM,0.656
10-Jan/ 20:00 PM,0.623
10-Jan/ 21:00 PM,0.602
10-Jan/ 22:00 PM,0.499
10-Jan/ 23:00 PM,0.39
10-Jan/ 24:00 PM,0.332
11-Jan/ 1:00 PM,0.295
11-Jan/ 2:00 PM,0.299
11-Jan/ 3:00 PM,0.311
11-Jan/ 4:00 PM,0.304
11-Jan/ 5:00 PM,0.293
11-Jan/ 6:00 PM,0.369
11-Jan/ 7:00 PM,0.515
11-Jan/ 8:00 PM,0.622
11-Jan/ 9:00 PM,0.795
11-Jan/ 10:00 PM,0.844
11-Jan/ 11:00 PM,0.873
11-Jan/ 12:00 PM,0.859
11-Jan/ 13:00 PM,0.853
11-Jan/ 14:00 PM,0.865
11-Jan/ 15:00 PM,0.903
11-Jan/ 16:00 PM,0.898
11-Jan/ 17:00 PM,0.889
11-Jan/ 1:00 PM,0.854
11-Jan/ 2:00 PM,0.837
11-Jan/ 3:00 PM,0.76
11-Jan/ 4:00 PM,0.687
11-Jan/ 5:00 PM,0.544
11-Jan/ 6:00 PM,0.354
11-Jan/ 7:00 PM,0.295
11-Jan/ 8:00 PM,0.295
11-Jan/ 9:00 PM,0.291
11-Jan/ 10:00 PM,0.29
11-Jan/ 11:00 PM,0.32
11-Jan/ 12:00 PM,0.292
11-Jan/ 13:00 PM,0.37
11-Jan/ 14:00 PM,0.526
11-Jan/ 15:00 PM,0.729
11-Jan/ 16:00 PM,0.821
11-Jan/ 17:00 PM,0.85
11-Jan/ 1:00 PM,0.826
11-Jan/ 2:00 PM,0.857
11-Jan/ 3:00 PM,0.866
11-Jan/ 4:00 PM,0.845
11-Jan/ 5:00 PM,0.853
11-Jan/ 6:00 PM,0.889
,0.88
,0.86
,0.846
,0.824
,0.791
,0.597
,0.39
,0.323
,0.318
,0.325
,0.32
,0.346
,0.322
,0.347
,0.582
,0.679
,0.739
,0.823
,0.815
,0.819
,0.811
,0.805
,0.805
,0.805
,0.812
,0.822
,0.806
,0.782
,0.731
,0.583
,0.409
,0.369
,0.351
,0.322
,0.32
,0.333
,0.327
,0.386
,0.516
,0.663
,0.788
,0.835
,0.859
,0.871
,0.862
,0.881
,0.854
,0.835
,0.811
,0.792
,0.827
,0.783
,0.749
,0.568
,0.394
,0.318
,0.307
,0.32
,0.308
,0.315
,0.324
,0.373
,0.546
,0.671
,0.824
,0.889
,0.905
,0.877
,0.882
,0.9
,0.906
,0.878
,0.861
,0.863
,0.803
,0.774
,0.75
,0.568
,0.371
,0.301
,0.286
,0.289
,0.287
,0.285
,0.292
,0.353
,0.501
,0.667
,0.828
,0.882
,0.897
,0.954
,0.924
,0.913
,0.901
,0.839
,0.849
,0.84
,0.813
,0.815
,0.778
,0.586
,0.384
,0.312
,0.296
,0.295
,0.295
,0.283
,0.274
,0.345
,0.491
,0.656
,0.769
,0.845
,0.822
,0.847
,0.891
,0.91
,0.872
,0.861
,0.844
,0.846
,0.844
,0.82
,0.771
,0.575
,0.351
,0.298
,0.282
,0.292
